PV,Value
DIAG_MTCA01:PICO7_CH7:RNG0_EEOFST_RD,-2.677820809537934e-08
DIAG_MTCA01:PICO7_CH7:RNG1_EEGAIN_RD,5.887454152669891e-12
DIAG_MTCA01:PICO7_CH7:RNG1_EEOFST_RD,-6.871196944757685e-10
DIAG_MTCA01:PICO8_CH0:RNG0_EEGAIN_RD,2.2341282990279154e-10
DIAG_MTCA01:PICO8_CH0:RNG0_EEOFST_RD,2.3702728668695272e-08
DIAG_MTCA01:PICO8_CH0:RNG1_EEGAIN_RD,5.883165916237276e-12
DIAG_MTCA01:PICO8_CH0:RNG1_EEOFST_RD,6.284936460154711e-10
DIAG_MTCA01:PICO8_CH1:RNG0_EEGAIN_RD,2.234083334995418e-10
DIAG_MTCA01:PICO8_CH1:RNG0_EEOFST_RD,-4.519677965220126e-09
DIAG_MTCA01:PICO8_CH1:RNG1_EEGAIN_RD,5.887942043647509e-12
DIAG_MTCA01:PICO8_CH1:RNG1_EEOFST_RD,-1.083670445045648e-10
DIAG_MTCA01:PICO8_CH2:RNG0_EEGAIN_RD,2.2335348848212533e-10
DIAG_MTCA01:PICO8_CH2:RNG0_EEOFST_RD,-2.9741862306309486e-09
DIAG_MTCA01:PICO8_CH2:RNG1_EEGAIN_RD,5.889701920613888e-12
DIAG_MTCA01:PICO8_CH2:RNG1_EEOFST_RD,-5.972858319047702e-11
DIAG_MTCA01:PICO8_CH3:RNG0_EEGAIN_RD,2.233852269828418e-10
DIAG_MTCA01:PICO8_CH3:RNG0_EEOFST_RD,-9.60794110937968e-09
DIAG_MTCA01:PICO8_CH3:RNG1_EEGAIN_RD,5.891400648577738e-12
DIAG_MTCA01:PICO8_CH3:RNG1_EEOFST_RD,-2.344926475217335e-10
DIAG_MTCA01:PICO8_CH4:RNG0_EEGAIN_RD,2.234626650388094e-10
DIAG_MTCA01:PICO8_CH4:RNG0_EEOFST_RD,-4.691149690927432e-09
DIAG_MTCA01:PICO8_CH4:RNG1_EEGAIN_RD,5.8932381544196666e-12
DIAG_MTCA01:PICO8_CH4:RNG1_EEOFST_RD,-1.2212691968827016e-10
DIAG_MTCA01:PICO8_CH5:RNG0_EEGAIN_RD,2.2347014516643782e-10
DIAG_MTCA01:PICO8_CH5:RNG0_EEOFST_RD,1.313803288383042e-09
DIAG_MTCA01:PICO8_CH5:RNG1_EEGAIN_RD,5.893754668334639e-12
DIAG_MTCA01:PICO8_CH5:RNG1_EEOFST_RD,5.2826961555174634e-11
DIAG_MTCA01:PICO8_CH6:RNG0_EEGAIN_RD,2.2350143957794444e-10
DIAG_MTCA01:PICO8_CH6:RNG0_EEOFST_RD,5.870327779433637e-09
DIAG_MTCA01:PICO8_CH6:RNG1_EEGAIN_RD,5.893968906683922e-12
DIAG_MTCA01:PICO8_CH6:RNG1_EEOFST_RD,1.753476946975141e-10
DIAG_MTCA01:PICO8_CH7:RNG0_EEGAIN_RD,2.234882279239514e-10
DIAG_MTCA01:PICO8_CH7:RNG0_EEOFST_RD,6.883913439281741e-09
DIAG_MTCA01:PICO8_CH7:RNG1_EEGAIN_RD,5.894776854142858e-12
DIAG_MTCA01:PICO8_CH7:RNG1_EEOFST_RD,2.1229348834417294e-10
DIAG_MTCA01:PICO9_CH0:RNG0_EEGAIN_RD,1.932642712532129e-09
DIAG_MTCA01:PICO9_CH0:RNG0_EEOFST_RD,-4.595569080834139e-08
DIAG_MTCA01:PICO9_CH0:RNG1_EEGAIN_RD,2.0086226518861716e-12
DIAG_MTCA01:PICO9_CH0:RNG1_EEOFST_RD,-4.224123481555431e-11
DIAG_MTCA01:PICO9_CH1:RNG0_EEGAIN_RD,1.9328278977326363e-09
DIAG_MTCA01:PICO9_CH1:RNG0_EEOFST_RD,-3.5980423973569486e-08
DIAG_MTCA01:PICO9_CH1:RNG1_EEGAIN_RD,2.0094453444946536e-12
DIAG_MTCA01:PICO9_CH1:RNG1_EEOFST_RD,-1.824262962912826e-11
DIAG_MTCA01:PICO9_CH2:RNG0_EEGAIN_RD,1.932565441009615e-09
DIAG_MTCA01:PICO9_CH2:RNG0_EEOFST_RD,-9.359453656543337e-09
DIAG_MTCA01:PICO9_CH2:RNG1_EEGAIN_RD,2.00856952597972e-12
DIAG_MTCA01:PICO9_CH2:RNG1_EEOFST_RD,2.9072436732308082e-12
DIAG_MTCA01:PICO9_CH3:RNG0_EEGAIN_RD,1.9324544187071524e-09
DIAG_MTCA01:PICO9_CH3:RNG0_EEOFST_RD,2.173388935489129e-08
DIAG_MTCA01:PICO9_CH3:RNG1_EEGAIN_RD,2.0085844879697e-12
DIAG_MTCA01:PICO9_CH3:RNG1_EEOFST_RD,3.760186606527327e-11
DIAG_MTCA01:PICO9_CH4:RNG0_EEGAIN_RD,1.9328774136795346e-09
DIAG_MTCA01:PICO9_CH4:RNG0_EEOFST_RD,5.52520740271234e-09
DIAG_MTCA01:PICO9_CH4:RNG1_EEGAIN_RD,2.0085497935001806e-12
DIAG_MTCA01:PICO9_CH4:RNG1_EEOFST_RD,2.5627167055120026e-11
DIAG_MTCA01:PICO9_CH5:RNG0_EEGAIN_RD,1.9331389822241363e-09
DIAG_MTCA01:PICO9_CH5:RNG0_EEOFST_RD,1.6147122527954139e-09
DIAG_MTCA01:PICO9_CH5:RNG1_EEGAIN_RD,2.008716543794309e-12
DIAG_MTCA01:PICO9_CH5:RNG1_EEOFST_RD,1.4554255370335945e-11
DIAG_MTCA01:PICO9_CH6:RNG0_EEGAIN_RD,1.932781934499417e-09
DIAG_MTCA01:PICO9_CH6:RNG0_EEOFST_RD,6.198025648274097e-09
DIAG_MTCA01:PICO9_CH6:RNG1_EEGAIN_RD,2.008490596061563e-12
DIAG_MTCA01:PICO9_CH6:RNG1_EEOFST_RD,1.8794712314251782e-11
DIAG_MTCA01:PICO9_CH7:RNG0_EEGAIN_RD,1.932724646991346e-09
DIAG_MTCA01:PICO9_CH7:RNG0_EEOFST_RD,8.972500076254164e-09
